# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 12 01:05:30 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_telescope: Discovery Telescope
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_telescope,rv_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
24 Sex c,1,2,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,1,0,883.00000000,32.40000000,-13.80000000,0,13.900,,,0,1.240,,,0,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000
2M0437 b,1,1,Imaging,2021,8.2 m Subaru Telescope,0,0,,,,,13.000,,,0,1.160,,,0,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0,0,0.17,0.01,-0.02,0,128.4840000,1.1960000,-1.1740000
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,8.2 m ESO VLT UT4 Yepun Telescope,0,0,,,,,12.300,,,0,1.100,,,0,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,0,0.19,0.02,-0.02,0,47.2000000,3.1000000,-3.1000000
2MASS J01225093-2439505 b,1,1,Imaging,2013,10 m Keck II Telescope,0,0,,,,,11.209,,,0,1.000,,,0,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,0,0.40,0.05,-0.05,0,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,1,1,Imaging,2015,1.5 m CTIO Telescope,0,0,,,,,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,0,0.11,0.01,-0.01,0,40.0896412,0.1940496,-0.1940496
2MASS J0249-0557 c,2,1,Imaging,2018,3.58 m Canada-France-Hawaii Telescope (CFHT),0,0,,,,,12.400,,,0,1.110,,,0,3686.80952,413.17693,-317.82841,0,11.60000,1.30000,-1.00000,0,0,0.05,0.01,-0.01,0,66.0613000,0.4543000,-0.4482000
2MASS J03590986+2009361 b,1,1,Imaging,2024,1.45 m x 0.5 m Telescope,0,0,,,,,12.200,,,0,1.080,,,0,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0,0,0.26,0.02,-0.02,0,117.4350000,2.3200000,-2.2330000
2MASS J04414489+2301513 b,1,1,Imaging,2010,2.4 m Hubble Space Telescope,0,0,,,,,12.600,,,0,1.130,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,0,0.02,,,0,120.4239870,5.4783417,-5.4783417
2MASS J11011926-7732383 b,1,1,Imaging,2024,1.45 m x 0.5 m Telescope,0,0,,,,,11.900,,,0,1.060,,,0,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0,0,,,,,,,
2MASS J11550485-7919108 b,1,1,Imaging,2024,1.45 m x 0.5 m Telescope,0,0,,,,,12.100,,,0,1.080,,,0,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0,0,0.59,0.02,-0.02,0,100.8620000,0.6030000,-0.5960000
2MASS J12073346-3932539 b,1,1,Imaging,2004,8.2 m ESO VLT UT4 Yepun Telescope,0,0,,,,,12.900,,,0,1.150,,,0,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0,0,0.02,,,0,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2,3,Eclipse Timing Variations,2015,0.95 m Kepler Telescope,0,0,406.00000000,4.00000000,-4.00000000,0,13.400,,,0,1.200,,,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0,0,0.48,,,0,396.3320000,6.3885000,-6.3885000
2MASS J21252752-8138278 b,1,1,Imaging,2024,1.45 m x 0.5 m Telescope,0,0,,,,,12.400,,,0,1.100,,,0,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0,0,0.64,0.02,-0.02,0,34.1154000,0.0811000,-0.0807000
2MASS J22362452+4751425 b,1,1,Imaging,2016,10 m Keck II Telescope,0,0,,,,,12.300,,,0,1.100,,,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0,0,0.60,0.05,-0.05,0,69.5737000,0.1592000,-0.1585000
30 Ari B b,4,1,Radial Velocity,2009,2.0 m Alfred Jensch Telescope,1,0,335.10001000,2.50000000,-2.50000000,0,12.300,,,0,1.100,,,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0,0,1.93,0.27,-0.27,0,44.6570000,0.1039000,-0.1034000
4 UMa b,1,1,Radial Velocity,2006,2.0 m Alfred Jensch Telescope,1,0,270.27000000,0.24000000,-0.09000000,0,12.600,,,0,1.120,,,0,2511.48007,63.24785,-120.13914,0,7.90200,0.19900,-0.37800,0,0,1.23,0.15,-0.15,0,73.4603000,1.1860500,-1.1860500
42 Dra b,2,1,Radial Velocity,2008,2.0 m Alfred Jensch Telescope,1,0,479.10000000,6.20000000,-6.20000000,0,13.000,,,0,1.160,,,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0,0,0.98,0.05,-0.05,0,90.6545000,1.3227000,-1.3227000
47 UMa b,1,3,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,1,0,1078.00000000,2.00000000,-2.00000000,0,13.200,,,0,1.180,,,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
47 UMa c,1,3,Radial Velocity,2001,3.0 m C. Donald Shane Telescope,1,0,2391.00000000,100.00000000,-87.00000000,0,14.200,,,0,1.270,,,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
47 UMa d,1,3,Radial Velocity,2009,3.0 m C. Donald Shane Telescope,1,0,14002.00000000,4018.00000000,-5095.00000000,0,13.500,,,0,1.200,,,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0,0,1.06,0.13,-0.14,0,13.7967000,0.0289000,-0.0289000
51 Eri b,3,1,Imaging,2015,8.19 m Gemini South Telescope,0,0,11688.00000000,6209.25000000,-3287.25000000,0,13.400,,,0,1.190,,,0,635.66000,,,0,2.00000,,,0,0,1.75,0.05,-0.05,0,29.7575000,0.1213000,-0.1203000
51 Peg b,1,1,Radial Velocity,1995,1.93 m Telescope,1,0,4.23078500,0.00003600,-0.00003600,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0,0,1.03,0.17,-0.09,0,15.4614000,0.0297000,-0.0297000
55 Cnc b,2,5,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,1,0,14.65160000,0.00010000,-0.00010000,0,13.900,,,0,1.240,,,0,263.97850,1.04880,-1.04880,0,0.83060,0.00330,-0.00330,0,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc c,2,5,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,1,0,44.39890000,0.00420000,-0.00430000,0,8.510,,,0,0.760,,,0,54.47380,1.74800,-1.74800,0,0.17140,0.00550,-0.00550,0,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc d,2,5,Radial Velocity,2002,3.0 m C. Donald Shane Telescope,1,0,5574.20000000,93.80000000,-88.60000000,0,13.000,,,0,1.160,,,0,1232.49300,21.61200,-21.61200,0,3.87800,0.06800,-0.06800,0,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc e,2,5,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,1,0,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,0.167,0.003,-0.003,0,7.99000,0.32000,-0.33000,0,0.02514,0.00101,-0.00104,0,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
55 Cnc f,2,5,Radial Velocity,2007,Multiple Telescopes,1,0,259.88000000,0.29000000,-0.29000000,0,7.590,,,0,0.677,,,0,44.81200,3.81400,-3.81400,0,0.14100,0.01200,-0.01200,0,0,0.91,0.02,-0.02,0,12.5855000,0.0124000,-0.0123000
6 Lyn b,1,1,Radial Velocity,2008,1.88 m Telescope,1,0,919.86000000,1.92000000,-3.71000000,0,13.400,,,0,1.200,,,0,597.83523,12.07748,-28.28673,0,1.88100,0.03800,-0.08900,0,0,1.32,0.20,-0.21,0,54.6599000,0.2734000,-0.2734000
61 Vir b,1,3,Radial Velocity,2009,Multiple Telescopes,1,0,4.21500000,0.00060000,-0.00060000,0,2.110,,,0,0.188,,,0,5.10000,0.50000,-0.50000,0,0.01600,0.00200,-0.00200,0,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir c,1,3,Radial Velocity,2009,Multiple Telescopes,1,0,38.02100000,0.03400000,-0.03400000,0,4.460,,,0,0.398,,,0,18.20000,1.10000,-1.10000,0,0.05700,0.00300,-0.00300,0,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir d,1,3,Radial Velocity,2009,Multiple Telescopes,1,0,123.01000000,0.55000000,-0.55000000,0,5.110,,,0,0.456,,,0,22.90000,2.60000,-2.60000,0,0.07200,0.00800,-0.00800,0,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
7 CMa b,1,2,Radial Velocity,2011,3.9 m Anglo-Australian Telescope,1,0,735.10000000,14.80000000,-1.00000000,0,13.400,,,0,1.200,,,0,587.98550,19.06980,-19.06980,0,1.85000,0.06000,-0.06000,0,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000
7 CMa c,1,2,Radial Velocity,2019,Multiple Telescopes,1,0,996.00000000,1.50000000,-52.40000000,0,13.900,,,0,1.240,,,0,276.51210,19.06980,-19.06980,0,0.87000,0.06000,-0.06000,0,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000
70 Vir b,1,1,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,1,0,116.68800000,0.00540000,-0.00540000,0,12.600,,,0,1.130,,,0,2380.45000,193.87000,-193.87000,0,7.49000,0.61000,-0.61000,0,0,1.09,,,0,17.9011000,0.0560000,-0.0557000
75 Cet b,2,2,Radial Velocity,2012,1.88 m Telescope,1,0,696.62000000,1.33000000,-1.69000000,0,13.300,,,0,1.180,,,0,787.89662,23.51930,-28.60456,0,2.47900,0.07400,-0.09000,0,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500
75 Cet c,2,2,Radial Velocity,2023,1.88 m Telescope,1,0,2051.62000000,45.98000000,-40.47000000,0,13.900,,,0,1.240,,,0,289.85951,27.96890,-45.44946,0,0.91200,0.08800,-0.14300,0,0,1.92,0.07,-0.08,0,82.9613000,0.7236500,-0.7236500
8 UMi b,1,1,Radial Velocity,2015,1.8 m Telescope,1,0,93.40000000,4.50000000,-4.50000000,0,13.600,,,0,1.220,,,0,416.35730,50.85280,-50.85280,0,1.31000,0.16000,-0.16000,0,0,1.44,0.19,-0.19,0,162.5520000,0.6510000,-0.6460000
81 Cet b,1,1,Radial Velocity,2008,1.88 m Telescope,1,0,1005.57000000,1.84000000,-1.94000000,0,13.100,,,0,1.170,,,0,1051.05854,24.79062,-21.29450,0,3.30700,0.07800,-0.06700,0,0,1.23,0.30,-0.25,0,101.2600000,1.2220000,-1.2220000
91 Aqr b,3,1,Radial Velocity,2013,0.6 m Coude Auxiliary Telescope,1,0,181.40000000,0.10000000,-0.10000000,0,13.100,,,0,1.170,,,0,1017.00000,,,0,3.20000,,,0,0,1.40,0.10,-0.10,0,44.0304000,0.5132500,-0.5132500
AB Aur b,1,1,Imaging,2022,8.2 m Subaru Telescope,0,0,,,,,12.500,,,0,1.120,,,0,2860.45566,,,0,9.00000,,,0,0,2.40,0.20,-0.20,0,162.1270000,1.5260000,-1.4980000
AB Pic b,1,1,Imaging,2005,8.2 m ESO VLT UT4 Yepun Telescope,0,0,,,,,12.300,,,0,1.100,,,0,4290.50000,158.90000,-158.90000,0,13.50000,0.50000,-0.50000,0,0,0.90,0.10,-0.10,0,50.0475000,0.0735000,-0.0733000
AF Lep b,1,1,Imaging,2023,8.2 m ESO VLT UT3 Melipal Telescope,0,0,8030.00000000,1800.00000000,-1800.00000000,0,13.100,,,0,1.170,,,0,1017.05090,222.47988,-190.69704,0,3.20000,0.70000,-0.60000,0,0,1.20,0.06,-0.06,0,26.8564000,0.0189000,-0.0188000
AU Mic b,1,3,Transit,2020,0.1 m TESS Telescope,1,0,8.46299910,,,0,3.957,0.146,-0.146,0,0.353,0.013,-0.013,0,20.12000,1.57000,-1.72000,0,0.06330,0.00494,-0.00541,0,1,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
AU Mic c,1,3,Transit,2021,0.1 m TESS Telescope,1,0,18.85899100,,,0,3.240,0.160,-0.160,0,0.289,0.014,-0.014,0,9.60000,2.07000,-2.31000,0,0.03020,0.00651,-0.00727,0,0,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
AU Mic d,1,3,Transit Timing Variations,2023,Multiple Telescopes,0,0,12.73596000,0.00793000,-0.00793000,0,1.020,,,0,0.091,,,0,1.05300,0.51100,-0.51100,0,0.00331,0.00161,-0.00161,0,0,0.51,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Telescopes,1,0,481.90000000,2.70000000,-2.80000000,0,12.700,,,0,1.130,,,0,2034.11200,413.17900,-413.17900,0,6.40000,1.30000,-1.30000,0,0,1.14,0.25,-0.25,0,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,1,1,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,1,0,268.94000000,0.99000000,-0.99000000,0,13.800,,,0,1.230,,,0,330.54320,149.38010,-149.38010,0,1.04000,0.47000,-0.47000,0,0,0.49,0.33,-0.33,0,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,1,1,Radial Velocity,2016,3.58 m Telescopio Nazionale Galileo,1,0,153.22000000,0.44000000,-0.44000000,0,13.800,,,0,1.230,,,0,337.21763,85.81410,-85.81410,0,1.06100,0.27000,-0.27000,0,0,1.08,0.14,-0.14,0,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,1,1,Radial Velocity,2013,9.2 m Hobby-Eberly Telescope,1,0,137.48000000,0.34000000,-0.34000000,0,13.700,,,0,1.230,,,0,352.78000,,,0,1.11000,,,0,0,1.10,0.20,-0.20,0,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,1,2,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,1,0,379.63000000,2.01000000,-2.01000000,0,12.100,,,0,1.080,,,0,6807.63000,,,0,21.42000,,,0,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,1,2,Radial Velocity,2009,9.2 m Hobby-Eberly Telescope,1,0,621.99000000,10.20000000,-10.20000000,0,12.400,,,0,1.100,,,0,3963.17000,,,0,12.47000,,,0,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000
BD+20 274 b,1,1,Radial Velocity,2012,9.2 m Hobby-Eberly Telescope,1,0,578.20000000,5.40000000,-5.40000000,0,13.000,,,0,1.160,,,0,1334.88600,,,0,4.20000,,,0,0,0.80,0.20,-0.20,0,1322.5100000,80.5350000,-80.5350000
BD+20 594 b,1,1,Transit,2016,0.95 m Kepler Telescope,1,0,41.68550000,0.00300000,-0.00300000,0,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,0,1.67,0.40,-0.40,0,179.4610000,1.2570000,-1.2400000
BD+45 564 b,1,1,Radial Velocity,2021,1.93 m Telescope,1,0,307.88000000,1.47000000,-1.47000000,0,13.600,,,0,1.210,,,0,432.24663,38.13941,-38.13941,0,1.36000,0.12000,-0.12000,0,0,0.81,0.07,-0.07,0,53.6220000,0.1919000,-0.1905000
BD+48 738 b,1,1,Radial Velocity,2011,9.2 m Hobby-Eberly Telescope,1,0,392.60000000,5.50000000,-5.50000000,0,13.900,,,0,1.240,,,0,289.22530,,,0,0.91000,,,0,0,0.74,0.39,-0.39,0,871.4930000,43.8490000,-43.8490000
BD+48 740 b,1,1,Radial Velocity,2018,Multiple Telescopes,1,0,733.00000000,5.00000000,-8.00000000,0,13.500,,,0,1.200,,,0,540.31100,222.48100,-222.48100,0,1.70000,0.70000,-0.70000,0,0,1.09,0.16,-0.16,0,666.5890000,21.5335000,-21.5335000
BD+49 828 b,1,1,Radial Velocity,2015,9.2 m Hobby-Eberly Telescope,1,0,2590.00000000,300.00000000,-180.00000000,0,13.500,,,0,1.210,,,0,508.50000,127.10000,-63.60000,0,1.60000,0.40000,-0.20000,0,0,1.52,0.22,-0.22,0,442.0420000,7.6540000,-7.6540000
BD+55 362 b,1,1,Radial Velocity,2021,1.93 m Telescope,1,0,265.59000000,1.04000000,-1.04000000,0,14.000,,,0,1.250,,,0,228.83645,25.42627,-25.42627,0,0.72000,0.08000,-0.08000,0,0,0.91,0.10,-0.10,0,52.5697000,0.0974000,-0.0971000
BD+60 1417 b,1,1,Imaging,2021,0.4 m Telescope,0,0,,,,,14.684,0.673,-0.673,0,1.310,0.060,-0.060,0,4767.42610,1589.14204,-1589.14204,0,15.00000,5.00000,-5.00000,0,0,1.00,,,0,44.9543000,0.0593000,-0.0592000
BD+63 1405 b,1,1,Radial Velocity,2021,1.93 m Telescope,1,0,1198.48000000,60.79000000,-60.79000000,0,12.400,,,0,1.110,,,0,3305.41543,413.17693,-349.61125,0,10.40000,1.30000,-1.10000,0,0,0.82,0.08,-0.08,0,38.0473000,0.0329000,-0.0329000
BD-00 4475 b,1,1,Radial Velocity,2021,1.93 m Telescope,1,0,723.20000000,0.74000000,-0.74000000,0,12.000,,,0,1.070,,,0,7961.60160,708.75735,-708.75735,0,25.05000,2.23000,-2.23000,0,0,0.81,0.10,-0.10,0,42.6402000,0.1816000,-0.1801000
BD-06 1339 b,1,2,Radial Velocity,2013,3.6 m ESO Telescope,1,1,3.87280000,0.00040000,-0.00040000,0,2.850,,,0,0.254,,,0,8.50000,1.30000,-1.30000,0,0.02700,0.00400,-0.00400,0,0,0.70,,,0,20.2695000,0.0220000,-0.0218000
BD-06 1339 c,1,2,Radial Velocity,2013,3.6 m ESO Telescope,1,0,125.94000000,0.44000000,-0.44000000,0,8.380,,,0,0.747,,,0,53.00000,8.00000,-8.00000,0,0.17000,0.03000,-0.03000,0,0,0.70,,,0,20.2695000,0.0220000,-0.0218000
BD-08 2823 b,1,2,Radial Velocity,2009,3.6 m ESO Telescope,1,0,5.60000000,0.02000000,-0.02000000,0,3.610,,,0,0.322,,,0,12.71320,3.17830,-3.17830,0,0.04000,0.01000,-0.01000,0,0,0.50,0.26,-0.26,0,41.3342000,0.0685000,-0.0682000
